19:35:02.914 [main] INFO  by.bakhar.task4.reader.impl.TextReaderImpl - Text was read!
19:35:02.920 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.921 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.921 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.921 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.921 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.922 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.922 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.922 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.923 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.923 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.923 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.923 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.924 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.925 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.926 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.927 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.928 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.929 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.930 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
